Tc_full-no_duplicates,Tc_full
1967,3166
1968,3167
1969,3168
1970,3169
1971,3170
1972,3171
1973,3172
1974,3173
1975,3174
1976,3175
1977,3176
1978,3177
1979,3178
1980,3179
1981,3180
1982,3181
1983,3182
1984,3183
1985,3184
1986,3185
1987,3186
1988,3187
1989,3188
1990,3189
1991,3190
1992,3191
1993,3192
1994,3193
1995,3194
1996,3195
1997,3196
1998,3197
1999,3198
2000,3199
2001,3200
2002,3201
2003,3202
2004,3203
2005,3204
2006,3205
2007,3206
2008,3207
2009,3208
2010,3209
2011,3210
2012,3211
2013,3212
2014,3213
2015,3214
2016,3215
2017,3216
2018,3217
2019,3218
2020,3219
2021,3220
2022,3221
2023,3222
2024,3223
2025,3224
2026,3225
2027,3226
2028,3227
2029,3228
2030,3229
2031,3230
2032,3231
2033,3232
2034,3233
2035,3234
2036,3235
2037,3236
2038,3237
2039,3238
2040,3239
2041,3240
2042,3241
2043,3242
2044,3243
2045,3244
2046,3245
2047,3246
2048,3247
2049,3248
2050,3249
2051,3250
2052,3251
2053,3252
2054,3253
2055,3254
2056,3255
2057,3256
2058,3257
2059,3258
2060,3259
2061,3260
2062,3261
2063,3262
2064,3263
2065,3264
2066,3265
2067,3266
2068,3267
2069,3268
2070,3269
2071,3270
2072,3271
2073,3272
2074,3273
2075,3274
2076,3275
2077,3276
2078,3277
2079,3278
2080,3279
2081,3280
2082,3281
2083,3282
2084,3283
2085,3284
2086,3285
2087,3286
2088,3287
2089,3288
2090,3289
2091,3290
2092,3291
2093,3292
2094,3293
2095,3294
2096,3295
2097,3296
2098,3297
2099,3298
2100,3299
2101,3300
2102,3301
2103,3302
2104,3303
2105,3304
2106,3305
2107,3306
2108,3307
2109,3308
2110,3309
2111,3310
2112,3311
2113,3312
2114,3313
2115,3314
2116,3315
2117,3316
2118,3317
2119,3318
2120,3319
2121,3320
2122,3321
2123,3322
2124,3323
2125,3324
2126,3325
2127,3326
2128,3327
2129,3328
2130,3329
2131,3330
2132,3331
2133,3332
2134,3333
2135,3334
2136,3335
2137,3336
2138,3337
2139,3338
2140,3339
2141,3340
2142,3341
2143,3342
2144,3343
2145,3344
2146,3345
2147,3346
2148,3347
2149,3348
2150,3349
2151,3350
2152,3351
2153,3352
